authors	title	venue	year
Nour Moustafa,Kim-Kwang Raymond Choo,Ibrahim Radwan,Seyit Ahmet Çamtepe	Outlier Dirichlet Mixture Mechanism: Adversarial Statistical Learning for Anomaly Detection in the Fog.	TIFS	2019
Gee-Sern Hsu,Yu-Lun Liu,Hsiao-Chia Peng,Po-Xun Wu	RGB-D-Based Face Reconstruction and Recognition.	TIFS	2014
Sabrina Engelmann,Christian Scheunert,Eduard A. Jorswieck	Secrecy Outage in MISO Systems With Partial Channel Information.	TIFS	2012
Lin Zhou 0002	Multiple Private Key Generation for Continuous Memoryless Sources With a Helper.	TIFS	2020
Igor Bilogrevic,Murtuza Jadliwala,Vishal Joneja,Kübra Kalkan,Jean-Pierre Hubaux,Imad Aad	Privacy-Preserving Optimal Meeting Location Determination on Mobile Devices.	TIFS	2014
Jiucheng Xie,Chi-Man Pun	Deep and Ordinal Ensemble Learning for Human Age Estimation From Facial Images.	TIFS	2020
Hassan Zivari-Fard,Bahareh Akhbari,Mahmoud Ahmadian-Attari,Mohammad Reza Aref	Imperfect and Perfect Secrecy in Compound Multiple Access Channel With Confidential Message.	TIFS	2016
Benjamin Mathon,Patrick Bas,François Cayre,Benoît Macq	Impacts of Watermarking Security on Tardos-Based Fingerprinting.	TIFS	2013
Tomas Larrain,John S. Bernhard,Domingo Mery,Kevin W. Bowyer	Face Recognition Using Sparse Fingerprint Classification Algorithm.	TIFS	2017
Hidehisa Nakayama,Abbas Jamalipour,Nei Kato	Network-based traitor-tracing technique using traffic pattern.	TIFS	2010
Yong Xiang 0001,Iynkaran Natgunanathan,Dezhong Peng,Wanlei Zhou,Shui Yu	A Dual-Channel Time-Spread Echo Method for Audio Watermarking.	TIFS	2012
Ali Karimi,Abbas Taherpour,Danijela Cabric	Smart Traffic-Aware Primary User Emulation Attack and Its Impact on Secondary User Throughput Under Rayleigh Flat Fading Channel.	TIFS	2020
Pei-Pei Li,Yibo Hu,Ran He,Zhenan Sun	Global and Local Consistent Wavelet-Domain Age Synthesis.	TIFS	2019
Debiao He,Sherali Zeadally,Neeraj Kumar 0001,Wei Wu 0001	Efficient and Anonymous Mobile User Authentication Protocol Using Self-Certified Public Key Cryptography for Multi-Server Architectures.	TIFS	2016
Eduardo Lopes Cominetti,Marcos A. Simplício Jr.	Fast Additive Partially Homomorphic Encryption From the Approximate Common Divisor Problem.	TIFS	2020
Tomás Filler,Jan Judas,Jessica J. Fridrich	Minimizing Additive Distortion in Steganography Using Syndrome-Trellis Codes.	TIFS	2011
Arindam Kar,Sourav Pramanik,Arghya Chakraborty,Debotosh Bhattacharjee,Edmond S. L. Ho,Hubert P. H. Shum	LMZMPM: Local Modified Zernike Moment Per-Unit Mass for Robust Human Face Recognition.	TIFS	2021
Jiantao Zhou 0001,Xianming Liu,Oscar C. Au,Yuan Yan Tang	Designing an Efficient Image Encryption-Then-Compression System via Prediction Error Clustering and Random Permutation.	TIFS	2014
Luiz G. Hafemann,Robert Sabourin,Luiz Eduardo Soares de Oliveira	Characterizing and Evaluating Adversarial Examples for Offline Handwritten Signature Verification.	TIFS	2019
Walter J. Scheirer,Anderson Rocha 0001,Jonathan Parris,Terrance E. Boult	Learning for Meta-Recognition.	TIFS	2012
Ankit Shah 0002,Rajesh Ganesan,Sushil Jajodia,Hasan Çam	A Two-Step Approach to Optimal Selection of Alerts for Investigation in a CSOC.	TIFS	2019
Seyed Mohammad Hosseini,Amir Hossein Jahangir,Mehdi Kazemi	Digesting Network Traffic for Forensic Investigation Using Digital Signal Processing Techniques.	TIFS	2019
Cong Chen,Thomas Eisenbarth 0001,Ingo von Maurich,Rainer Steinwandt	Horizontal and Vertical Side Channel Analysis of a McEliece Cryptosystem.	TIFS	2016
Wenming Zheng,Xiaoou Tang	Fast algorithm for updating the discriminant vectors of dual-space LDA.	TIFS	2009
Xiaocheng Hu,Weiming Zhang,Xuexian Hu,Nenghai Yu,Xianfeng Zhao,Fenghua Li	Fast Estimation of Optimal Marked-Signal Distribution for Reversible Data Hiding.	TIFS	2013
Hachiro Fujita	On the Secrecy Capacity of Wiretap Channels With Side Information at the Transmitter.	TIFS	2016
Peng Xu 0002,Zhiguo Ding 0001,Xuchu Dai,George K. Karagiannidis	Simultaneously Generating Secret and Private Keys in a Cooperative Pairwise-Independent Network.	TIFS	2016
Kyung-Ah Shim	BASIS: A Practical Multi-User Broadcast Authentication Scheme in Wireless Sensor Networks.	TIFS	2017
Masahiro Kaminaga,Hideki Yoshikawa,Toshinori Suzuki	Double Counting in 2	TIFS	2015
Ali Moharrer,Shuangqing Wei,George T. Amariucai,Jing Deng 0001	Extractable Common Randomness From Gaussian Trees: Topological and Algebraic Perspectives.	TIFS	2016
Guowen Xu,Hongwei Li 0001,Sen Liu,Kan Yang 0001,Xiaodong Lin 0001	VerifyNet: Secure and Verifiable Federated Learning.	TIFS	2020
Yi Liu,Dingwen Zhang,Qiang Zhang 0020,Jungong Han	Integrating Part-Object Relationship and Contrast for Camouflaged Object Detection.	TIFS	2021
R. Weaver	Visualizing and Modeling the Scanning Behavior of the Conficker Botnet in the Presence of User and Network Activity.	TIFS	2015
Xinyu Li,Jing Xu 0002,Xiong Fan,Yuchen Wang,Zhenfeng Zhang	Puncturable Signatures and Applications in Proof-of-Stake Blockchain Protocols.	TIFS	2020
Hung-Min Sun,Yao-Hsin Chen,Yue-Hsun Lin	oPass: A User Authentication Protocol Resistant to Password Stealing and Password Reuse Attacks.	TIFS	2012
Zhe Cui,Jianjiang Feng,Jie Zhou 0001	Dense Registration and Mosaicking of Fingerprints by Training an End-to-End Network.	TIFS	2021
Aris Gkoulalas-Divanis,Dinusha Vatsalan,Dimitrios Karapiperis,Murat Kantarcioglu	Modern Privacy-Preserving Record Linkage Techniques: An Overview.	TIFS	2021
Parthajit Mohapatra,Nikolaos Pappas 0001,Jemin Lee,Tony Q. S. Quek,Vangelis Angelakis	Secure Communications for the Two-User Broadcast Channel With Random Traffic.	TIFS	2018
Martin Higgins,Fei Teng 0005,Thomas Parisini	Stealthy MTD Against Unsupervised Learning-Based Blind FDI Attacks in Power Systems.	TIFS	2021
Gabriel Bertocco,Fernanda A. Andaló,Anderson Rocha 0001	Unsupervised and Self-Adaptative Techniques for Cross-Domain Person Re-Identification.	TIFS	2021
Yuyang Zhou,Guang Cheng 0001,Shui Yu	An SDN-Enabled Proactive Defense Framework for DDoS Mitigation in IoT Networks.	TIFS	2021
Si-Hyeon Lee,Ligong Wang 0002,Ashish Khisti,Gregory W. Wornell	Covert Communication With Channel-State Information at the Transmitter.	TIFS	2018
Guyue Li,Chen Sun 0004,Wei Xu 0001,Marco Di Renzo,Aiqun Hu	On Maximizing the Sum Secret Key Rate for Reconfigurable Intelligent Surface-Assisted Multiuser Systems.	TIFS	2022
MyeongAh Cho,Taeoh Kim,Ig-Jae Kim,Kyungjae Lee 0003,Sangyoun Lee	Relational Deep Feature Learning for Heterogeneous Face Recognition.	TIFS	2021
Rubén Heras Evangelio,Michael Pätzold,Ivo Keller,Thomas Sikora	Adaptively Splitted GMM With Feedback Improvement for the Task of Background Subtraction.	TIFS	2014
Hartwig Fronthaler,Klaus Kollreider,Josef Bigün,Julian Fiérrez,Fernando Alonso-Fernandez,Javier Ortega-Garcia,Joaquín González-Rodríguez	Fingerprint Image-Quality Estimation and its Application to Multialgorithm Verification.	TIFS	2008
David Froelicher,Juan Ramón Troncoso-Pastoriza,João Sá Sousa,Jean-Pierre Hubaux	Drynx: Decentralized, Secure, Verifiable System for Statistical Queries and Machine Learning on Distributed Datasets.	TIFS	2020
Chenyang Tu,Zeyi Liu,Neng Gao,Cunqing Ma,Jingquan Ge,Lingchen Zhang	MACM: How to Reduce the Multi-Round SCA to the Single-Round Attack on the Feistel-SP Networks.	TIFS	2020
Qi Yan,Rui Yang 0006,Jiwu Huang	Robust Copy-Move Detection of Speech Recording Using Similarities of Pitch and Formant.	TIFS	2019
Wen Huang,Shijie Zhou,Yongjian Liao	Unexpected Information Leakage of Differential Privacy Due to the Linear Property of Queries.	TIFS	2021
Anil K. Jain 0001,Arun Ross,Sharath Pankanti	Biometrics: a tool for information security.	TIFS	2006
Pierre-François Marteau	Random Partitioning Forest for Point-Wise and Collective Anomaly Detection - Application to Network Intrusion Detection.	TIFS	2021
Zhenxin Zhan,Maochao Xu,Shouhuai Xu	Characterizing Honeypot-Captured Cyber Attacks: Statistical Framework and Case Study.	TIFS	2013
Tuncer C. Aysal,Kenneth E. Barner	Sensor Data Cryptography in Wireless Sensor Networks.	TIFS	2008
Worapan Kusakunniran	Recognizing Gaits on Spatio-Temporal Feature Domain.	TIFS	2014
Hoon Wei Lim,Geong Sen Poh,Jia Xu 0006,Varsha Chittawar	None	TIFS	2020
Xuan Zha,Wei Ni 0001,Kangfeng Zheng,Ren Ping Liu,Xinxin Niu	Collaborative Authentication in Decentralized Dense Mobile Networks With Key Predistribution.	TIFS	2017
Hanwei Zhang,Yannis Avrithis,Teddy Furon,Laurent Amsaleg	Walking on the Edge: Fast, Low-Distortion Adversarial Examples.	TIFS	2021
Xufeng Lin,Chang-Tsun Li	Large-Scale Image Clustering Based on Camera Fingerprints.	TIFS	2017
Tanya Ignatenko,Frans M. J. Willems	Biometric systems: privacy and secrecy aspects.	TIFS	2009
Hui-Yu Huang,Cheng-Han Yang,Wen-Hsing Hsu	A Video Watermarking Technique Based on Pseudo-3-D DCT and Quantization Index Modulation.	TIFS	2010
Rong Jin 0002,Liu Shi,Kai Zeng 0001,Amit Pande,Prasant Mohapatra	MagPairing: Pairing Smartphones in Close Proximity Using Magnetometers.	TIFS	2016
