name	university	homepage	total_all_2016_2022	total_conf_2016_2022	total_journal_2016_2022	ieeesp_2016_	acm_ccs_2016_	usenix_sec_2016_	ndss_2016_	tdsc_2016_	tifs_2016_	
Nour Moustafa		https://orcid.org/0000-0001-6127-9349	                    2	                    0	                    2	                    0	                    0	                    0	                    0	                    0	                    2
Kim-Kwang Raymond Choo	University of Texas at San Antonio	http://raymond.choo.au.googlepages.com/	                    37	                    0	                    37	                    0	                    0	                    0	                    0	                    16	                    21
Ibrahim Radwan		https://orcid.org/0000-0002-8170-5058	                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Seyit Ahmet Çamtepe			                    4	                    0	                    4	                    0	                    0	                    0	                    0	                    1	                    3
Gee-Sern Hsu			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Yu-Lun Liu			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Hsiao-Chia Peng			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Po-Xun Wu			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Sabrina Engelmann		https://scholar.google.com/citations?user=r4o3gggAAAAJ	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Christian Scheunert			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Eduard A. Jorswieck	Dresden University of Technology	http://tu-dresden.de/die_tu_dresden/fakultaeten/fakultaet_elektrotechnik_und_informationstechnik/ifn/tnt/jorswieck	                    6	                    0	                    6	                    0	                    0	                    0	                    0	                    0	                    6
Lin Zhou 0002	Beihang University	http://zl19920612.wixsite.com/linzhou	                    2	                    0	                    2	                    0	                    0	                    0	                    0	                    0	                    2
Igor Bilogrevic			                    2	                    2	                    0	                    0	                    1	                    1	                    0	                    0	                    0
Murtuza Jadliwala	University of Texas at San Antonio	http://www.cs.utsa.edu/~jadliwala	                    3	                    2	                    1	                    0	                    0	                    1	                    1	                    0	                    1
Vishal Joneja			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Kübra Kalkan	Özyeğin University	https://faculty.ozyegin.edu.tr/kubrakalkan	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Jean-Pierre Hubaux	EPFL	https://people.epfl.ch/jean-pierre.hubaux	                    8	                    7	                    1	                    2	                    0	                    3	                    2	                    0	                    1
Imad Aad			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Jiucheng Xie			                    3	                    0	                    3	                    0	                    0	                    0	                    0	                    0	                    3
Chi-Man Pun	University of Macau	http://www.fst.umac.mo/en/staff/fstpcm.html	                    10	                    0	                    10	                    0	                    0	                    0	                    0	                    1	                    9
Hassan Zivari-Fard			                    2	                    0	                    2	                    0	                    0	                    0	                    0	                    0	                    2
Bahareh Akhbari			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Mahmoud Ahmadian-Attari			                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Mohammad Reza Aref	Sharif University of Technology	https://scholar.google.com/citations?user=SATq2T4AAAAJ	                    1	                    0	                    1	                    0	                    0	                    0	                    0	                    0	                    1
Benjamin Mathon	University of Lille 1	https://scholar.google.com/citations?user=KADZ4dEAAAAJ	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Patrick Bas			                    4	                    0	                    4	                    0	                    0	                    0	                    0	                    0	                    4
François Cayre			                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
Benoît Macq	Université catholique de Louvain	https://pilab.be/about-me/?p=benoit_macq	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0	                    0
